dataset_name,combination,mean_interaction,mean_actual_drop,n_rows,n_features,n_classes,majority_class_ratio,minority_class_count,row_cap,part_id,source_zip
adult,AllThree,0.07617144765841304,0.18618040929307486,20000,14,2,0.7607,4786,20000,1,final_experiment_v1
adult,Missing+Imbalance,0.007339859386503607,0.06256423363767383,20000,14,2,0.7607,4786,20000,1,final_experiment_v1
adult,Noise+Imbalance,0.07678093745869063,0.15902089608253733,20000,14,2,0.7607,4786,20000,1,final_experiment_v1
adult,Noise+Missing,-0.0036156286262012042,0.07893796176810544,20000,14,2,0.7607,4786,20000,1,final_experiment_v1
allhypo,AllThree,-0.0566183210380955,0.2892458860694613,3770,29,3,0.923342175066313,95,3770,1,final_experiment_v1
allhypo,Missing+Imbalance,0.006141606943672874,0.17531380355676937,3770,29,3,0.923342175066313,95,3770,1,final_experiment_v1
allhypo,Noise+Imbalance,0.038800624015841806,0.21544249372543492,3770,29,3,0.923342175066313,95,3770,1,final_experiment_v1
allhypo,Noise+Missing,-0.08636954338800597,0.259544804504418,3770,29,3,0.923342175066313,95,3770,1,final_experiment_v1
clean2,AllThree,0.06243098568087268,0.21196965607166313,6598,168,2,0.8458623825401637,1017,6598,1,final_experiment_v1
clean2,Missing+Imbalance,0.004069447697273324,0.04292020219079378,6598,168,2,0.8458623825401637,1017,6598,1,final_experiment_v1
clean2,Noise+Imbalance,0.04755031700552306,0.1591207876524304,6598,168,2,0.8458623825401637,1017,6598,1,final_experiment_v1
clean2,Noise+Missing,-0.01899465215420123,0.12966146348695182,6598,168,2,0.8458623825401637,1017,6598,1,final_experiment_v1
dna,AllThree,0.18738372914632134,0.4335265982261618,3186,180,3,0.5191462649089768,765,3186,2,final_experiment_v2
dna,Missing+Imbalance,0.07231978928909652,0.2385055237405785,3186,180,3,0.5191462649089768,765,3186,2,final_experiment_v2
dna,Noise+Imbalance,0.15697944537644973,0.35087219842490386,3186,180,3,0.5191462649089768,765,3186,2,final_experiment_v2
dna,Noise+Missing,-0.004231146695543484,0.12797610396420134,3186,180,3,0.5191462649089768,765,3186,2,final_experiment_v2
hypothyroid,AllThree,-0.07239629616788125,0.24244475029107573,3163,25,2,0.9522605121719886,151,3163,2,final_experiment_v2
hypothyroid,Missing+Imbalance,0.0057870850611670965,0.1449777946516931,3163,25,2,0.9522605121719886,151,3163,2,final_experiment_v2
hypothyroid,Noise+Imbalance,0.013066297546824928,0.18852712501291974,3163,25,2,0.9522605121719886,151,3163,2,final_experiment_v2
hypothyroid,Noise+Missing,-0.08558216627184488,0.22944838958944824,3163,25,2,0.9522605121719886,151,3163,2,final_experiment_v2
kr_vs_kp,AllThree,0.17609073248552487,0.418356565986926,3196,36,2,0.522215269086358,1527,3196,2,final_experiment_v2
kr_vs_kp,Missing+Imbalance,0.03383373177324951,0.1781289135566422,3196,36,2,0.522215269086358,1527,3196,2,final_experiment_v2
kr_vs_kp,Noise+Imbalance,0.18924729244312344,0.3318054716232915,3196,36,2,0.522215269086358,1527,3196,2,final_experiment_v2
kr_vs_kp,Noise+Missing,-0.03513653732184057,0.16254176871740078,3196,36,2,0.522215269086358,1527,3196,2,final_experiment_v2
magic,AllThree,0.11125310057484762,0.2481390127777987,19020,10,2,0.6483701366982124,6688,19020,2,final_experiment_v2
magic,Missing+Imbalance,0.009435875859023161,0.10407475287904012,19020,10,2,0.6483701366982124,6688,19020,2,final_experiment_v2
magic,Noise+Imbalance,0.12166429625041913,0.21002520487474832,19020,10,2,0.6483701366982124,6688,19020,2,final_experiment_v2
magic,Noise+Missing,-0.004172800152440752,0.08659923860911525,19020,10,2,0.6483701366982124,6688,19020,2,final_experiment_v2
mfeat_fourier,AllThree,0.19829644438738864,0.6288743837526949,2000,76,10,0.1,200,2000,6,final_experiment_v6
mfeat_fourier,Missing+Imbalance,0.06169292186436188,0.44278629488720916,2000,76,10,0.1,200,2000,6,final_experiment_v6
mfeat_fourier,Noise+Imbalance,0.20191905485720765,0.5766119328388358,2000,76,10,0.1,200,2000,6,final_experiment_v6
mfeat_fourier,Noise+Missing,-0.0016035119353316873,0.10376611579080532,2000,76,10,0.1,200,2000,6,final_experiment_v6
mfeat_karhunen,AllThree,0.2938140515465402,0.7333394209638109,2000,64,10,0.1,200,2000,6,final_experiment_v6
mfeat_karhunen,Missing+Imbalance,0.10169338797980945,0.4876389327671352,2000,64,10,0.1,200,2000,6,final_experiment_v6
mfeat_karhunen,Noise+Imbalance,0.2829918397246344,0.6647042401602673,2000,64,10,0.1,200,2000,6,final_experiment_v6
mfeat_karhunen,Noise+Missing,-0.0011225625650425688,0.11027023104653999,2000,64,10,0.1,200,2000,6,final_experiment_v6
mfeat_morphological,AllThree,0.18056592482227213,0.4661331412470567,2000,6,10,0.1,200,2000,6,final_experiment_v6
mfeat_morphological,Missing+Imbalance,0.06767509037696429,0.29601129047647606,2000,6,10,0.1,200,2000,6,final_experiment_v6
mfeat_morphological,Noise+Imbalance,0.1814248266342246,0.39595842252303015,2000,6,10,0.1,200,2000,6,final_experiment_v6
mfeat_morphological,Noise+Missing,0.00853049835998352,0.13679513522123515,2000,6,10,0.1,200,2000,6,final_experiment_v6
mfeat_zernike,AllThree,0.24324844937421258,0.5792937507488654,2000,47,10,0.1,200,2000,6,final_experiment_v6
mfeat_zernike,Missing+Imbalance,0.07398278005294615,0.370024871550221,2000,47,10,0.1,200,2000,6,final_experiment_v6
mfeat_zernike,Noise+Imbalance,0.22032325625040708,0.5042535318858957,2000,47,10,0.1,200,2000,6,final_experiment_v6
mfeat_zernike,Noise+Missing,0.005678371825103515,0.09779660744164544,2000,47,10,0.1,200,2000,6,final_experiment_v6
mushroom,AllThree,0.23739413257442396,0.32920831617407936,8124,22,2,0.517971442639094,3916,8124,1,final_experiment_v1
mushroom,Missing+Imbalance,0.01127087586102145,0.036597788108490376,8124,22,2,0.517971442639094,3916,8124,1,final_experiment_v1
