combination,dataset_name,model_name,seed,label_noise,missing_rate,imbalance_level,metric,p_clean,actual_drop,expected_drop,interaction,bounded_interaction,relative_clean_interaction,pure_three_way_residual
noise_missing,analcatdata_authorship,LogisticRegression,0,0.2,0.2,natural,macro_f1,0.9967465246968352,0.24973940976519193,0.18071999132716354,0.06901941843802839,0.06901941843802839,0.0678826204580419,
noise_imbalance,analcatdata_authorship,LogisticRegression,0,0.2,0.0,0.8,macro_f1,0.9967465246968352,0.32591533636564696,0.1608499394172881,0.16506539694835887,0.16506539694835887,0.1623466546862077,
missing_imbalance,analcatdata_authorship,LogisticRegression,0,0.0,0.2,0.8,macro_f1,0.9967465246968352,0.021893836470785577,0.019870051909875452,0.0020237845609101246,0.0020237845609101246,0.0019904514170958777,
all_three_excess_over_singles,analcatdata_authorship,LogisticRegression,0,0.2,0.2,0.8,macro_f1,0.9967465246968352,0.39284533792946896,0.18071999132716354,0.21212534660230542,0.21212534660230542,0.20863149413326507,-0.02398325334499196
noise_missing,analcatdata_authorship,LinearSVM,0,0.2,0.2,natural,macro_f1,0.9888993959652826,0.06817004845411789,0.06486365804155048,0.003306390412567417,0.003306390412567417,0.0032772250888345204,
noise_imbalance,analcatdata_authorship,LinearSVM,0,0.2,0.0,0.8,macro_f1,0.9888993959652826,0.35363522943854075,0.058367978572126944,0.2952672508664138,0.2952672508664138,0.29266272935361565,
missing_imbalance,analcatdata_authorship,LinearSVM,0,0.0,0.2,0.8,macro_f1,0.9888993959652826,0.04248514844809381,0.008944532951399298,0.033540615496694515,0.033540615496694515,0.033244757238261535,
all_three_excess_over_singles,analcatdata_authorship,LinearSVM,0,0.2,0.2,0.8,macro_f1,0.9888993959652826,0.46187622430926933,0.06608808478253836,0.395788139526731,0.395788139526731,0.39229693377708247,0.06367388275105523
noise_missing,analcatdata_authorship,KNN,0,0.2,0.2,natural,macro_f1,0.9967465246968352,0.07337778587751498,0.02852512927703177,0.04485265660048321,0.04485265660048321,0.04411390205032369,
noise_imbalance,analcatdata_authorship,KNN,0,0.2,0.0,0.8,macro_f1,0.9967465246968352,0.25974790599446185,0.058178321307033265,0.20156958468742858,0.20156958468742858,0.1982495929824111,
missing_imbalance,analcatdata_authorship,KNN,0,0.0,0.2,0.8,macro_f1,0.9967465246968352,0.24304849526081085,0.04264731778178266,0.2004011774790282,0.2004011774790282,0.19710043025598942,
all_three_excess_over_singles,analcatdata_authorship,KNN,0,0.2,0.2,0.8,macro_f1,0.9967465246968352,0.48434359840502006,0.06467538418292385,0.4196682142220962,0.4196682142220962,0.41275598591028306,-0.02715520454484377
noise_missing,analcatdata_authorship,DecisionTree,0,0.2,0.2,natural,macro_f1,0.8887914705305638,0.26013578069982746,0.2896619074578971,-0.02952612675806965,-0.02952612675806965,-0.032489440884421954,
noise_imbalance,analcatdata_authorship,DecisionTree,0,0.2,0.0,0.8,macro_f1,0.8887914705305638,0.3172813521032444,0.3395794700390078,-0.022298117935763417,-0.022298117935763417,-0.0245360114600828,
missing_imbalance,analcatdata_authorship,DecisionTree,0,0.0,0.2,0.8,macro_f1,0.8887914705305638,0.20566329948900697,0.1716885535673437,0.033974745921663274,0.033974745921663274,0.03738453432207984,
all_three_excess_over_singles,analcatdata_authorship,DecisionTree,0,0.2,0.2,0.8,macro_f1,0.8887914705305638,0.42053185932836895,0.4004649655321243,0.020066893796244656,0.020066893796244656,0.02208085622164714,0.03791639256841445
noise_missing,analcatdata_authorship,RandomForest,0,0.2,0.2,natural,macro_f1,0.9781076221300048,0.033507767791494225,0.04056698455838037,-0.007059216766886145,-0.007059216766886145,-0.007072600800123609,
