dataset_name,seed,model_name,best_params,best_cv_macro_f1
balance_scale,0,LogisticRegression,"{""C"": 10.0}",0.7033990454228086
balance_scale,0,RandomForest,"{""max_depth"": null, ""min_samples_leaf"": 3}",0.6090345236494241
balance_scale,0,XGBoost,"{""learning_rate"": 0.08, ""max_depth"": 3, ""n_estimators"": 250}",0.6824178375988375
balance_scale,0,LightGBM,"{""learning_rate"": 0.08, ""n_estimators"": 150, ""num_leaves"": 15}",0.6696204717541944
balance_scale,1,LogisticRegression,"{""C"": 10.0}",0.6929374441485482
balance_scale,1,RandomForest,"{""max_depth"": 8, ""min_samples_leaf"": 3}",0.6068987409456335
balance_scale,1,XGBoost,"{""learning_rate"": 0.08, ""max_depth"": 3, ""n_estimators"": 250}",0.6672518522752268
balance_scale,1,LightGBM,"{""learning_rate"": 0.08, ""n_estimators"": 150, ""num_leaves"": 15}",0.6717698821049253
balance_scale,2,LogisticRegression,"{""C"": 10.0}",0.8116393549743913
balance_scale,2,RandomForest,"{""max_depth"": 8, ""min_samples_leaf"": 1}",0.5971579556674107
balance_scale,2,XGBoost,"{""learning_rate"": 0.08, ""max_depth"": 3, ""n_estimators"": 250}",0.6800620201771199
balance_scale,2,LightGBM,"{""learning_rate"": 0.08, ""n_estimators"": 250, ""num_leaves"": 15}",0.6943774320603717
balance_scale,3,LogisticRegression,"{""C"": 10.0}",0.7072798114982867
balance_scale,3,RandomForest,"{""max_depth"": null, ""min_samples_leaf"": 3}",0.6049706900553605
balance_scale,3,XGBoost,"{""learning_rate"": 0.08, ""max_depth"": 3, ""n_estimators"": 250}",0.672958041444669
balance_scale,3,LightGBM,"{""learning_rate"": 0.08, ""n_estimators"": 150, ""num_leaves"": 15}",0.6706530760768751
balance_scale,4,LogisticRegression,"{""C"": 10.0}",0.735649951590863
balance_scale,4,RandomForest,"{""max_depth"": null, ""min_samples_leaf"": 3}",0.6013168513870372
balance_scale,4,XGBoost,"{""learning_rate"": 0.08, ""max_depth"": 3, ""n_estimators"": 250}",0.6392625424264925
balance_scale,4,LightGBM,"{""learning_rate"": 0.08, ""n_estimators"": 150, ""num_leaves"": 15}",0.6676040615316151
breast_w,0,LogisticRegression,"{""C"": 10.0}",0.9598852136040096
breast_w,0,RandomForest,"{""max_depth"": null, ""min_samples_leaf"": 1}",0.968402575349252
