combination,dataset_name,model_name,seed,mitigation,interaction
noise_imbalance,adult,LightGBM,0,class_weight,0.007128503761223426
all_three_excess_over_singles,adult,LightGBM,0,class_weight,0.007138241513269583
noise_imbalance,adult,LightGBM,0,none,0.09922021349738086
all_three_excess_over_singles,adult,LightGBM,0,none,0.1046068807868511
noise_imbalance,adult,LightGBM,0,random_oversample,0.020059112535654178
all_three_excess_over_singles,adult,LightGBM,0,random_oversample,0.014467110862702692
noise_imbalance,adult,LightGBM,1,class_weight,-0.01037904470469786
all_three_excess_over_singles,adult,LightGBM,1,class_weight,-0.014859350823713258
noise_imbalance,adult,LightGBM,1,none,0.10929872320870515
all_three_excess_over_singles,adult,LightGBM,1,none,0.10894741170758482
noise_imbalance,adult,LightGBM,1,random_oversample,-0.011264159752316205
all_three_excess_over_singles,adult,LightGBM,1,random_oversample,-0.013342895535983113
noise_imbalance,adult,LightGBM,2,class_weight,0.006574504908008927
all_three_excess_over_singles,adult,LightGBM,2,class_weight,0.014437362590389524
noise_imbalance,adult,LightGBM,2,none,0.1323218299232869
all_three_excess_over_singles,adult,LightGBM,2,none,0.1489284495227965
noise_imbalance,adult,LightGBM,2,random_oversample,0.00023333688873261593
all_three_excess_over_singles,adult,LightGBM,2,random_oversample,-0.010720373073888734
noise_imbalance,adult,LightGBM,3,class_weight,-0.005293185310102033
all_three_excess_over_singles,adult,LightGBM,3,class_weight,-0.006464006477142181
noise_imbalance,adult,LightGBM,3,none,0.11090421145324691
all_three_excess_over_singles,adult,LightGBM,3,none,0.13162726135234426
noise_imbalance,adult,LightGBM,3,random_oversample,-0.007665923797392726
all_three_excess_over_singles,adult,LightGBM,3,random_oversample,-0.020871830460064134
noise_imbalance,adult,LightGBM,4,class_weight,0.025248750278262677
all_three_excess_over_singles,adult,LightGBM,4,class_weight,0.024924634509973287
noise_imbalance,adult,LightGBM,4,none,0.12210178001592054
all_three_excess_over_singles,adult,LightGBM,4,none,0.1227571257517529
noise_imbalance,adult,LightGBM,4,random_oversample,0.01792661315541577
all_three_excess_over_singles,adult,LightGBM,4,random_oversample,0.027058731141175074
noise_imbalance,adult,LogisticRegression,0,class_weight,-0.0016497117234970382
