mitigation,setting_name,macro_f1_drop
class_weight,all_three,0.3773872154551577
class_weight,clean,0.0
class_weight,imbalance_only,0.12453333776217183
class_weight,missing_only,0.06672072472411464
class_weight,noise_imbalance,0.3061101122633461
class_weight,noise_only,0.06237010835738664
none,all_three,0.46915050300781336
none,clean,0.0
none,imbalance_only,0.1426733721754463
none,missing_only,0.07039415850716695
none,noise_imbalance,0.40615948107970967
none,noise_only,0.04854208533577282
random_oversample,all_three,0.36195880966142335
random_oversample,clean,0.0
random_oversample,imbalance_only,0.11609982335152808
random_oversample,missing_only,0.06379035507467856
random_oversample,noise_imbalance,0.29324277398434645
random_oversample,noise_only,0.06458625809611564
