run_key,dataset_name,seed,setting_name,label_noise,missing_rate,imbalance_level,model_name,mitigation,fit_eval_seconds,train_rows_after_corruption,n_label_flips_before_sampling,observed_majority_class,desired_nonmajority,actual_nonmajority,imbalance_feasible,accuracy,balanced_accuracy,macro_f1,weighted_f1,mcc,minority_recall
adult__seed0__clean__LogisticRegression__none,adult,0,clean,0.0,0.0,natural,LogisticRegression,none,1.3423,15000,0,1,3589,3589,True,0.82,0.682452252113323,0.707837663698557,0.8021872596964784,0.44741786332363664,0.41854636591478694
adult__seed0__clean__LogisticRegression__class_weight,adult,0,clean,0.0,0.0,natural,LogisticRegression,class_weight,0.974,15000,0,1,3589,3589,True,0.7678,0.7600554326477074,0.7206041784234711,0.7804544514300085,0.4654362252489052,0.7451963241436925
adult__seed0__clean__LogisticRegression__random_oversample,adult,0,clean,0.0,0.0,natural,LogisticRegression,random_oversample,1.0257,15000,0,1,3589,3589,True,0.7666,0.7595528175333592,0.7196031425784142,0.7794340221292948,0.46404842465308865,0.746031746031746
adult__seed0__clean__RandomForest__none,adult,0,clean,0.0,0.0,natural,RandomForest,none,1.2028,15000,0,1,3589,3589,True,0.8518,0.7700497408830165,0.7847221774332016,0.847353781019399,0.5736092780990191,0.6131996658312447
adult__seed0__clean__RandomForest__class_weight,adult,0,clean,0.0,0.0,natural,RandomForest,class_weight,1.1525,15000,0,1,3589,3589,True,0.8496,0.764023741534571,0.7800224845103066,0.8445029273858902,0.5652341064203847,0.5998329156223893
adult__seed0__clean__RandomForest__random_oversample,adult,0,clean,0.0,0.0,natural,RandomForest,random_oversample,1.5111,15000,0,1,3589,3589,True,0.8458,0.7924391792875123,0.7900220550375343,0.8464276912704352,0.5801357205307318,0.6900584795321637
adult__seed0__clean__XGBoost__none,adult,0,clean,0.0,0.0,natural,XGBoost,none,0.3345,15000,0,1,3589,3589,True,0.8636,0.7829590190745511,0.800367698111935,0.8589261127246917,0.6062326157810606,0.6282372598162071
adult__seed0__clean__XGBoost__class_weight,adult,0,clean,0.0,0.0,natural,XGBoost,class_weight,0.2835,15000,0,1,3589,3589,True,0.826,0.8303731104428614,0.7877750216176753,0.8347186095839042,0.5968393419504064,0.8387635756056808
adult__seed0__clean__XGBoost__random_oversample,adult,0,clean,0.0,0.0,natural,XGBoost,random_oversample,0.332,15000,0,1,3589,3589,True,0.8302,0.832847852825156,0.7919013087667395,0.8384310940133021,0.6033794396765638,0.8379281537176274
adult__seed0__clean__LightGBM__none,adult,0,clean,0.0,0.0,natural,LightGBM,none,0.3842,15000,0,1,3589,3589,True,0.864,0.7875155062693986,0.8027636753805675,0.8600435971171939,0.6095872515371586,0.6407685881370092
adult__seed0__clean__LightGBM__class_weight,adult,0,clean,0.0,0.0,natural,LightGBM,class_weight,0.3651,15000,0,1,3589,3589,True,0.8306,0.8328245673347185,0.7922165751904432,0.8387625058808597,0.603705161218959,0.8370927318295739
adult__seed0__clean__LightGBM__random_oversample,adult,0,clean,0.0,0.0,natural,LightGBM,random_oversample,0.4714,15000,0,1,3589,3589,True,0.8294,0.8268834721565945,0.7894030893505166,0.8372378526146532,0.5957155882292678,0.8220551378446115
adult__seed0__noise_only__LogisticRegression__none,adult,0,noise_only,0.2,0.0,natural,LogisticRegression,none,0.9736,15000,3000,1,5181,5181,True,0.816,0.661789894141085,0.6878050687426092,0.7920734803708115,0.4252090790059242,0.3659147869674185
adult__seed0__noise_only__LogisticRegression__class_weight,adult,0,noise_only,0.2,0.0,natural,LogisticRegression,class_weight,1.0472,15000,3000,1,5181,5181,True,0.7118,0.7532971485598913,0.6804987855184579,0.7326208078436329,0.43473905418773195,0.8329156223893066
adult__seed0__noise_only__LogisticRegression__random_oversample,adult,0,noise_only,0.2,0.0,natural,LogisticRegression,random_oversample,1.0481,15000,3000,1,5181,5181,True,0.7132,0.7553624177895875,0.6820949490607037,0.7339234418662065,0.43826517756802397,0.8362573099415205
adult__seed0__noise_only__RandomForest__none,adult,0,noise_only,0.2,0.0,natural,RandomForest,none,1.4696,15000,3000,1,5181,5181,True,0.826,0.7487959094862233,0.7549728678921853,0.8237309311436583,0.5107489332822407,0.6006683375104428
adult__seed0__noise_only__RandomForest__class_weight,adult,0,noise_only,0.2,0.0,natural,RandomForest,class_weight,1.4272,15000,3000,1,5181,5181,True,0.8284,0.749228668129259,0.7568724066390041,0.825604304979253,0.5149831503872221,0.5973266499582289
adult__seed0__noise_only__RandomForest__random_oversample,adult,0,noise_only,0.2,0.0,natural,RandomForest,random_oversample,1.7454,15000,3000,1,5181,5181,True,0.7998,0.7556164712772377,0.7403177027419596,0.8050944961621239,0.48481080251371617,0.670843776106934
adult__seed0__noise_only__XGBoost__none,adult,0,noise_only,0.2,0.0,natural,XGBoost,none,0.2775,15000,3000,1,5181,5181,True,0.8538,0.7616324754387502,0.782036192249207,0.8472214425101225,0.5728946394819979,0.5847953216374269
adult__seed0__noise_only__XGBoost__class_weight,adult,0,noise_only,0.2,0.0,natural,XGBoost,class_weight,0.2693,15000,3000,1,5181,5181,True,0.806,0.8240952543511465,0.7701783851681374,0.8174687236949022,0.5742591603738189,0.858813700918964
adult__seed0__noise_only__XGBoost__random_oversample,adult,0,noise_only,0.2,0.0,natural,XGBoost,random_oversample,0.312,15000,3000,1,5181,5181,True,0.8024,0.8188663437013077,0.7658259914567254,0.814060741590214,0.5651251115733902,0.8504594820384294
adult__seed0__noise_only__LightGBM__none,adult,0,noise_only,0.2,0.0,natural,LightGBM,none,0.3066,15000,3000,1,5181,5181,True,0.8544,0.7620269008923395,0.7827075310226786,0.8477599593495936,0.5744700986430923,0.5847953216374269
adult__seed0__noise_only__LightGBM__class_weight,adult,0,noise_only,0.2,0.0,natural,LightGBM,class_weight,0.3237,15000,3000,1,5181,5181,True,0.8042,0.8163285547552817,0.7664139977139589,0.815379846524214,0.562979327910621,0.8395989974937343
adult__seed0__noise_only__LightGBM__random_oversample,adult,0,noise_only,0.2,0.0,natural,LightGBM,random_oversample,0.3501,15000,3000,1,5181,5181,True,0.808,0.8214027047634864,0.7709033509966849,0.8189519927972014,0.5720804535528836,0.8471177944862155
adult__seed0__missing_only__LogisticRegression__none,adult,0,missing_only,0.0,0.2,natural,LogisticRegression,none,1.0481,15000,0,1,3589,3589,True,0.8086,0.6552078987898355,0.6787288054170151,0.7851913197558822,0.40079574433430054,0.3609022556390977
adult__seed0__missing_only__LogisticRegression__class_weight,adult,0,missing_only,0.0,0.2,natural,LogisticRegression,class_weight,1.0478,15000,0,1,3589,3589,True,0.7462,0.7409901078403784,0.6989415125206879,0.761109921592413,0.4273545348808513,0.7309941520467836
adult__seed0__missing_only__LogisticRegression__random_oversample,adult,0,missing_only,0.0,0.2,natural,LogisticRegression,random_oversample,1.0602,15000,0,1,3589,3589,True,0.7436,0.741284581424637,0.6973829145698277,0.7590214635109889,0.4265570722642266,0.7368421052631579
adult__seed0__missing_only__RandomForest__none,adult,0,missing_only,0.0,0.2,natural,RandomForest,none,1.2435,15000,0,1,3589,3589,True,0.8414,0.7374518116660747,0.7593971493811167,0.8326069570936243,0.5311924644422823,0.5380116959064327
adult__seed0__missing_only__RandomForest__class_weight,adult,0,missing_only,0.0,0.2,natural,RandomForest,class_weight,1.2018,15000,0,1,3589,3589,True,0.8404,0.7310697200534864,0.7548218974646741,0.8303183548807404,0.5252342762425759,0.5213032581453634
adult__seed0__missing_only__RandomForest__random_oversample,adult,0,missing_only,0.0,0.2,natural,RandomForest,random_oversample,1.6371,15000,0,1,3589,3589,True,0.8356,0.7705634495564884,0.7725836095529492,0.8349774976627572,0.5452406541920183,0.64578111946533
adult__seed0__missing_only__XGBoost__none,adult,0,missing_only,0.0,0.2,natural,XGBoost,none,0.2712,15000,0,1,3589,3589,True,0.8528,0.7581127417544651,0.7794101427216377,0.8457256656298944,0.5687332569139956,0.5764411027568922
adult__seed0__missing_only__XGBoost__class_weight,adult,0,missing_only,0.0,0.2,natural,XGBoost,class_weight,0.2834,15000,0,1,3589,3589,True,0.8162,0.8265069501697095,0.7788417226280534,0.8262167449303858,0.5843683435384739,0.8462823725981621
adult__seed0__missing_only__XGBoost__random_oversample,adult,0,missing_only,0.0,0.2,natural,XGBoost,random_oversample,0.2977,15000,0,1,3589,3589,True,0.8186,0.8243635866772725,0.7800609728211135,0.8280460205173287,0.5835476486116625,0.835421888053467
adult__seed0__missing_only__LightGBM__none,adult,0,missing_only,0.0,0.2,natural,LightGBM,none,0.3047,15000,0,1,3589,3589,True,0.853,0.7622515180052858,0.7817378548697491,0.8467393075156832,0.5714402194753564,0.5881370091896407
adult__seed0__missing_only__LightGBM__class_weight,adult,0,missing_only,0.0,0.2,natural,LightGBM,class_weight,0.3763,15000,0,1,3589,3589,True,0.817,0.825887907603174,0.7792788531145877,0.8268363319647979,0.5841959528100914,0.8429406850459482
adult__seed0__missing_only__LightGBM__random_oversample,adult,0,missing_only,0.0,0.2,natural,LightGBM,random_oversample,0.4501,15000,0,1,3589,3589,True,0.821,0.8262275242844599,0.7825283098328646,0.8302017404441604,0.5877320893646216,0.8362573099415205
