dataset_name,task_type,n_classes,seed,label_noise,imbalance_level,original_train_rows,original_minority_count,original_majority_count,clean_minority_class,clean_majority_class,observed_majority_class_after_noise,post_imbalance_rows,clean_minority_retained_count,clean_majority_retained_count,clean_minority_retention_rate,effective_clean_minority_ratio,mislabeled_retained_count,mislabeled_retained_ratio,mislabeled_minority_retained_count,mislabeled_majority_retained_count,mislabeled_minority_retained_ratio,observed_majority_ratio_after,observed_minority_count_after,imbalance_feasible
adult,binary,2,0,0.1,0.7,15000,3589,11411,0,1,1,15000,3589,11411,1.0,0.23926666666666666,1500,0.1,345,1155,0.09612705488994149,0.7067333333333333,4399,True
adult,binary,2,0,0.1,0.8,15000,3589,11411,0,1,1,13251,2296,10955,0.6397325160211759,0.17326994189117803,1044,0.07878650667874122,345,699,0.15026132404181183,0.8000150932005131,2650,True
adult,binary,2,0,0.1,0.9,15000,3589,11411,0,1,1,11779,1226,10553,0.34159933129005293,0.10408353850072162,642,0.05450377790983955,345,297,0.2814029363784666,0.8999915103149673,1178,True
adult,binary,2,0,0.2,0.7,15000,3589,11411,0,1,1,14001,3032,10969,0.844803566453051,0.21655596028855081,2558,0.18270123562602672,695,1863,0.229221635883905,0.7000214270409256,4200,True
adult,binary,2,0,0.2,0.8,15000,3589,11411,0,1,1,12251,2029,10222,0.5653385344106994,0.16561913313198923,1811,0.14782466737409192,695,1116,0.342533267619517,0.8000163251979431,2450,True
adult,binary,2,0,0.2,0.9,15000,3589,11411,0,1,1,10890,1290,9600,0.3594315965449986,0.1184573002754821,1189,0.10918273645546372,695,494,0.5387596899224806,0.9,1089,True
adult,binary,2,0,0.3,0.7,15000,3589,11411,0,1,1,12870,2671,10199,0.7442184452493731,0.20753690753690754,3288,0.25547785547785545,1049,2239,0.3927368026956196,0.7,3861,True
adult,binary,2,0,0.3,0.8,15000,3589,11411,0,1,1,11261,2005,9256,0.5586514349400947,0.1780481307166326,2345,0.20824083118728354,1049,1296,0.5231920199501247,0.8000177604120415,2252,True
adult,binary,2,0,0.3,0.9,15000,3589,11411,0,1,1,10010,1474,8536,0.4106993591529674,0.14725274725274726,1625,0.16233766233766234,1049,576,0.7116689280868386,0.9,1001,True
adult,binary,2,1,0.1,0.7,15000,3590,11410,0,1,1,15000,3590,11410,1.0,0.23933333333333334,1500,0.1,383,1117,0.10668523676880223,0.7117333333333333,4324,True
adult,binary,2,1,0.1,0.8,15000,3590,11410,0,1,1,13345,2358,10987,0.656824512534819,0.17669539153240915,1077,0.08070438366429375,383,694,0.16242578456318915,0.8,2669,True
adult,binary,2,1,0.1,0.9,15000,3590,11410,0,1,1,11862,1244,10618,0.34651810584958215,0.10487270274827179,708,0.05968639352554375,383,325,0.30787781350482313,0.9000168605631428,1186,True
adult,binary,2,1,0.2,0.7,15000,3590,11410,0,1,1,14123,3090,11033,0.8607242339832869,0.21879204135098776,2623,0.1857254124477802,738,1885,0.23883495145631067,0.6999929193514126,4237,True
adult,binary,2,1,0.2,0.8,15000,3590,11410,0,1,1,12358,2132,10226,0.5938718662952647,0.17251982521443598,1816,0.14694934455413497,738,1078,0.34615384615384615,0.7999676323029616,2472,True
adult,binary,2,1,0.2,0.9,15000,3590,11410,0,1,1,10984,1367,9617,0.3807799442896936,0.12445375091041515,1207,0.1098871085214858,738,469,0.5398683247988295,0.9000364166059723,1098,True
adult,binary,2,1,0.3,0.7,15000,3590,11410,0,1,1,12971,2719,10252,0.7573816155988858,0.20962146326420478,3342,0.2576516845270218,1085,2257,0.3990437660904744,0.7000231285174621,3891,True
adult,binary,2,1,0.3,0.8,15000,3590,11410,0,1,1,11350,2059,9291,0.5735376044568246,0.18140969162995596,2381,0.20977973568281938,1085,1296,0.5269548324429335,0.8,2270,True
adult,binary,2,1,0.3,0.9,15000,3590,11410,0,1,1,10089,1516,8573,0.4222841225626741,0.15026266230548121,1663,0.1648329864208544,1085,578,0.7156992084432717,0.8999900882148875,1009,True
adult,binary,2,2,0.1,0.7,15000,3589,11411,0,1,1,15000,3589,11411,1.0,0.23926666666666666,1500,0.1,353,1147,0.0983560880468097,0.7078,4383,True
adult,binary,2,2,0.1,0.8,15000,3589,11411,0,1,1,13271,2345,10926,0.6533853441069936,0.17670107753748776,1015,0.07648255594906186,353,662,0.15053304904051173,0.8000150704543741,2654,True
adult,binary,2,2,0.1,0.9,15000,3589,11411,0,1,1,11797,1215,10582,0.33853441069935913,0.10299228617445114,671,0.056878867508688646,353,318,0.2905349794238683,0.8999745698058829,1180,True
adult,binary,2,2,0.2,0.7,15000,3589,11411,0,1,1,14036,3057,10979,0.8517692950682642,0.21779709318894272,2568,0.182958107722998,707,1861,0.2312724893686621,0.6999857509261898,4211,True
adult,binary,2,2,0.2,0.8,15000,3589,11411,0,1,1,12281,2091,10190,0.582613541376428,0.17026300789837961,1779,0.14485791059359987,707,1072,0.3381157340985175,0.8000162853187851,2456,True
adult,binary,2,2,0.2,0.9,15000,3589,11411,0,1,1,10917,1328,9589,0.37001950404012257,0.1216451406063937,1178,0.10790510213428597,707,471,0.5323795180722891,0.8999725199230558,1092,True
adult,binary,2,2,0.3,0.7,15000,3589,11411,0,1,1,12947,2709,10238,0.754806352744497,0.20923766123426277,3327,0.25697072680929944,1076,2251,0.39719453672942046,0.7000077237970186,3884,True
adult,binary,2,2,0.3,0.8,15000,3589,11411,0,1,1,11329,2067,9262,0.5759264419058233,0.1824521140436049,2351,0.20752052255274075,1076,1275,0.5205611998064829,0.7999823461911908,2266,True
adult,binary,2,2,0.3,0.9,15000,3589,11411,0,1,1,10070,1523,8547,0.42435218723878515,0.1512413108242304,1636,0.1624627606752731,1076,560,0.706500328299409,0.9,1007,True
adult,binary,2,3,0.1,0.7,15000,3589,11411,0,1,1,15000,3589,11411,1.0,0.23926666666666666,1500,0.1,355,1145,0.09891334633602675,0.7080666666666666,4379,True
adult,binary,2,3,0.1,0.8,15000,3589,11411,0,1,1,13276,2327,10949,0.6483700195040402,0.17527869840313348,1038,0.07818620066285026,355,683,0.15255694026643749,0.8000150647785478,2655,True
adult,binary,2,3,0.1,0.9,15000,3589,11411,0,1,1,11801,1217,10584,0.3390916689885762,0.10312685365646979,673,0.057029065333446316,355,318,0.29170090386195563,0.9000084738581476,1180,True
adult,binary,2,3,0.2,0.7,15000,3589,11411,0,1,1,14016,3042,10974,0.8475898578991362,0.2170376712328767,2563,0.18286244292237444,700,1863,0.23011176857330704,0.6999857305936074,4205,True
adult,binary,2,3,0.2,0.8,15000,3589,11411,0,1,1,12264,2062,10202,0.5745332961827807,0.16813437703848663,1791,0.14603718199608612,700,1091,0.3394762366634336,0.7999836921069797,2453,True
adult,binary,2,3,0.2,0.9,15000,3589,11411,0,1,1,10901,1319,9582,0.3675118417386459,0.120998073571232,1171,0.10742133749197322,700,471,0.530705079605762,0.9000091734703238,1090,True
adult,binary,2,3,0.3,0.7,15000,3589,11411,0,1,1,13047,2732,10315,0.7612148230704932,0.20939679619835977,3404,0.260902889553154,1111,2293,0.40666178623718885,0.7000076645972254,3914,True
adult,binary,2,3,0.3,0.8,15000,3589,11411,0,1,1,11416,2091,9325,0.582613541376428,0.18316398037841625,2414,0.21145760336370006,1111,1303,0.531324725011956,0.8000175192711984,2283,True
adult,binary,2,3,0.3,0.9,15000,3589,11411,0,1,1,10148,1539,8609,0.4288102535525216,0.15165549862041783,1698,0.16732361056365785,1111,587,0.7218973359324237,0.8999802916830902,1015,True
adult,binary,2,4,0.1,0.7,15000,3589,11411,0,1,1,15000,3589,11411,1.0,0.23926666666666666,1500,0.1,352,1148,0.09807745890220117,0.7076666666666667,4385,True
adult,binary,2,4,0.1,0.8,15000,3589,11411,0,1,1,13269,2296,10973,0.6397325160211759,0.17303489336046424,1062,0.08003617454216595,352,710,0.15331010452961671,0.7999849272740975,2654,True
adult,binary,2,4,0.1,0.9,15000,3589,11411,0,1,1,11794,1215,10579,0.33853441069935913,0.10301848397490249,668,0.0566389689672715,352,316,0.2897119341563786,0.9000339155502798,1179,True
adult,binary,2,4,0.2,0.7,15000,3589,11411,0,1,1,14147,3095,11052,0.8623572025633881,0.21877429843783133,2641,0.1866826889093094,746,1895,0.24103392568659127,0.70000706863646,4244,True
adult,binary,2,4,0.2,0.8,15000,3589,11411,0,1,1,12379,2118,10261,0.5901365282808582,0.17109621132563213,1850,0.14944664350916875,746,1104,0.352219074598678,0.7999838436061071,2476,True
adult,binary,2,4,0.2,0.9,15000,3589,11411,0,1,1,11003,1356,9647,0.3778211200891613,0.1232391166045624,1236,0.1123330000908843,746,490,0.5501474926253688,0.9000272652912842,1100,True
