run_key,dataset_name,seed,setting_id,setting_name,model_name,label_noise,missing_rate,imbalance_level,missing_mechanism,fit_eval_seconds,train_rows_after_corruption,n_label_flips_before_sampling,accuracy,balanced_accuracy,macro_f1,weighted_f1,mcc,minority_recall
balance_scale__seed0__setting0__LogisticRegression__mnar,balance_scale,0,0,clean,LogisticRegression,0.0,0.0,natural,mnar,0.0305,468,0,0.8789808917197452,0.6343226788432267,0.6105820105820106,0.8456981093923768,0.7893923846052094,0.0
balance_scale__seed0__setting0__LinearSVM__mnar,balance_scale,0,0,clean,LinearSVM,0.0,0.0,natural,mnar,0.0221,468,0,0.8853503184713376,0.6388888888888888,0.6151152697473923,0.851978368069485,0.8028402089971427,0.0
balance_scale__seed0__setting0__KNN__mnar,balance_scale,0,0,clean,KNN,0.0,0.0,natural,mnar,0.0287,468,0,0.7961783439490446,0.59779299847793,0.5996514161220043,0.7997535489779777,0.6449099491590022,0.08333333333333333
balance_scale__seed0__setting0__DecisionTree__mnar,balance_scale,0,0,clean,DecisionTree,0.0,0.0,natural,mnar,0.0203,468,0,0.7898089171974523,0.593226788432268,0.5996164591909273,0.8050845481933705,0.6404608856630457,0.08333333333333333
balance_scale__seed0__setting0__RandomForest__mnar,balance_scale,0,0,clean,RandomForest,0.0,0.0,natural,mnar,0.5725,468,0,0.8407643312101911,0.6068619989852867,0.6027277277277278,0.8349974177999655,0.7172515952886722,0.0
balance_scale__seed0__setting0__ExtraTrees__mnar,balance_scale,0,0,clean,ExtraTrees,0.0,0.0,natural,mnar,0.4249,468,0,0.8343949044585988,0.6022957889396245,0.6002204377263424,0.8315396441906436,0.7070629839546996,0.0
balance_scale__seed0__setting0__HistGradientBoosting__mnar,balance_scale,0,0,clean,HistGradientBoosting,0.0,0.0,natural,mnar,0.6654,468,0,0.8726114649681529,0.6530948756976154,0.6497725518649324,0.8548469209702712,0.7712703150689068,0.08333333333333333
balance_scale__seed0__setting0__XGBoost__mnar,balance_scale,0,0,clean,XGBoost,0.0,0.0,natural,mnar,0.2821,468,0,0.8726114649681529,0.6298198883815322,0.6090048446597627,0.8438512341525157,0.7710353828208356,0.0
balance_scale__seed0__setting0__LightGBM__mnar,balance_scale,0,0,clean,LightGBM,0.0,0.0,natural,mnar,0.2759,468,0,0.8598726114649682,0.6436453576864536,0.6401072124756335,0.8441445971616941,0.7488192218796135,0.08333333333333333
balance_scale__seed0__setting1__LogisticRegression__mnar,balance_scale,0,1,noise_only,LogisticRegression,0.2,0.0,natural,mnar,0.0304,468,94,0.8980891719745223,0.6482115677321157,0.6224991224991224,0.862387741368633,0.8191907769668619,0.0
