run_key,dataset_name,seed,setting_id,setting_name,model_name,variant,label_noise,missing_rate,imbalance_level,fit_eval_seconds,train_rows_after_corruption,n_label_flips_before_sampling,accuracy,balanced_accuracy,macro_f1,weighted_f1,mcc,minority_recall
balance_scale__seed0__setting0__LogisticRegression__default,balance_scale,0,0,clean,LogisticRegression,default,0.0,0.0,natural,0.0367,468,0,0.8789808917197452,0.6343226788432267,0.6105820105820106,0.8456981093923768,0.7893923846052094,0.0
balance_scale__seed0__setting0__LogisticRegression__tuned,balance_scale,0,0,clean,LogisticRegression,tuned,0.0,0.0,natural,0.0319,468,0,0.910828025477707,0.75,0.7896739130434783,0.9011596510661868,0.8474224050828872,0.3333333333333333
balance_scale__seed0__setting0__RandomForest__default,balance_scale,0,0,clean,RandomForest,default,0.0,0.0,natural,0.5501,468,0,0.8407643312101911,0.6068619989852867,0.6027277277277278,0.8349974177999655,0.7172515952886722,0.0
balance_scale__seed0__setting0__RandomForest__tuned,balance_scale,0,0,clean,RandomForest,tuned,0.0,0.0,natural,0.5681,468,0,0.8726114649681529,0.6299467275494672,0.6048565121412803,0.8378959800902688,0.771196530232931,0.0
balance_scale__seed0__setting0__XGBoost__default,balance_scale,0,0,clean,XGBoost,default,0.0,0.0,natural,0.3191,468,0,0.8726114649681529,0.6298198883815322,0.6090048446597627,0.8438512341525157,0.7710353828208356,0.0
balance_scale__seed0__setting0__XGBoost__tuned,balance_scale,0,0,clean,XGBoost,tuned,0.0,0.0,natural,0.2172,468,0,0.8789808917197452,0.6343860984271944,0.6112141826427541,0.8467792444134572,0.7831208131238125,0.0
balance_scale__seed0__setting0__LightGBM__default,balance_scale,0,0,clean,LightGBM,default,0.0,0.0,natural,0.3351,468,0,0.8598726114649682,0.6436453576864536,0.6401072124756335,0.8441445971616941,0.7488192218796135,0.08333333333333333
balance_scale__seed0__setting0__LightGBM__tuned,balance_scale,0,0,clean,LightGBM,tuned,0.0,0.0,natural,0.2075,468,0,0.8662420382165605,0.6482749873160832,0.644880174291939,0.8481745139669457,0.7601637684607443,0.08333333333333333
balance_scale__seed0__setting1__LogisticRegression__default,balance_scale,0,1,noise_only,LogisticRegression,default,0.2,0.0,natural,0.0342,468,94,0.8726114649681529,0.6296930492135971,0.6049170954831332,0.8380111656160207,0.7741128913685242,0.0
balance_scale__seed0__setting1__LogisticRegression__tuned,balance_scale,0,1,noise_only,LogisticRegression,tuned,0.2,0.0,natural,0.0358,468,94,0.8726114649681529,0.6296930492135971,0.6049170954831332,0.8380111656160207,0.7741128913685242,0.0
balance_scale__seed0__setting1__RandomForest__default,balance_scale,0,1,noise_only,RandomForest,default,0.2,0.0,natural,0.5845,468,94,0.8089171974522293,0.583650431253171,0.5717209671753044,0.7920889869304606,0.6589947921957442,0.0
balance_scale__seed0__setting1__RandomForest__tuned,balance_scale,0,1,noise_only,RandomForest,tuned,0.2,0.0,natural,0.564,468,94,0.8598726114649682,0.6204337899543378,0.5954641350210971,0.8250423284689188,0.749309574197463,0.0
balance_scale__seed0__setting1__XGBoost__default,balance_scale,0,1,noise_only,XGBoost,default,0.2,0.0,natural,0.3369,468,94,0.7834394904458599,0.5882800608828006,0.5856072032542621,0.7764866580902549,0.6187420790271406,0.08333333333333333
balance_scale__seed0__setting1__XGBoost__tuned,balance_scale,0,1,noise_only,XGBoost,tuned,0.2,0.0,natural,0.2075,468,94,0.8089171974522293,0.6067985794013191,0.6038258038258039,0.7938312218566996,0.6582632835064308,0.08333333333333333
balance_scale__seed0__setting1__LightGBM__default,balance_scale,0,1,noise_only,LightGBM,default,0.2,0.0,natural,0.2968,468,94,0.802547770700637,0.6484018264840182,0.6457209033005212,0.8022592102205881,0.6596323934761397,0.25
balance_scale__seed0__setting1__LightGBM__tuned,balance_scale,0,1,noise_only,LightGBM,tuned,0.2,0.0,natural,0.1879,468,94,0.7898089171974523,0.6392694063926941,0.6347940558466874,0.7939637745202612,0.6385958398534356,0.25
balance_scale__seed0__setting2__LogisticRegression__default,balance_scale,0,2,missing_only,LogisticRegression,default,0.0,0.2,natural,0.0324,468,0,0.821656050955414,0.5929096905124301,0.5694975883655129,0.7889606687828056,0.67802772568428,0.0
balance_scale__seed0__setting2__LogisticRegression__tuned,balance_scale,0,2,missing_only,LogisticRegression,tuned,0.0,0.2,natural,0.0331,468,0,0.821656050955414,0.5929096905124301,0.5694975883655129,0.7889606687828056,0.67802772568428,0.0
balance_scale__seed0__setting2__RandomForest__default,balance_scale,0,2,missing_only,RandomForest,default,0.0,0.2,natural,0.5626,468,0,0.7707006369426752,0.5563800101471333,0.5451777422547005,0.7553247040376552,0.5875271539344471,0.0
balance_scale__seed0__setting2__RandomForest__tuned,balance_scale,0,2,missing_only,RandomForest,tuned,0.0,0.2,natural,0.5524,468,0,0.7643312101910829,0.5516869609335363,0.5315259625574003,0.7363836910276803,0.5688950583958708,0.0
balance_scale__seed0__setting2__XGBoost__default,balance_scale,0,2,missing_only,XGBoost,default,0.0,0.2,natural,0.3117,468,0,0.7643312101910829,0.5516235413495688,0.5403957382039574,0.748739784195678,0.5751654427636302,0.0
balance_scale__seed0__setting2__XGBoost__tuned,balance_scale,0,2,missing_only,XGBoost,tuned,0.0,0.2,natural,0.2059,468,0,0.7961783439490446,0.5746448503297819,0.5536324031555399,0.7670490722595829,0.6283047458830012,0.0
balance_scale__seed0__setting2__LightGBM__default,balance_scale,0,2,missing_only,LightGBM,default,0.0,0.2,natural,0.3085,468,0,0.732484076433121,0.5286656519533232,0.5268329554043839,0.7299276398457473,0.5267101703881993,0.0
balance_scale__seed0__setting2__LightGBM__tuned,balance_scale,0,2,missing_only,LightGBM,tuned,0.0,0.2,natural,0.1963,468,0,0.7261146496815286,0.5240360223236936,0.5258166491043204,0.7285644292013719,0.5196117261892744,0.0
balance_scale__seed0__setting3__LogisticRegression__default,balance_scale,0,3,imbalance_only,LogisticRegression,default,0.0,0.0,0.8,0.0323,270,0,0.8598726114649682,0.6208777270421106,0.596830985915493,0.8269489548757514,0.7534928789672559,0.0
