run_key,experiment,dataset_name,seed,setting_id,model_name,label_noise,missing_rate,imbalance_level,corruption_order,noise_type,imputation_strategy,train_rows_after_corruption,test_rows,fit_eval_seconds,accuracy,balanced_accuracy,macro_f1,weighted_f1,mcc,minority_recall,auroc,auprc
xgb__adult__seed0__setting0__XGBoost,xgboost_full,adult,0,0,XGBoost,0.0,0.0,natural,noise_then_imbalance,symmetric,mean,15000,5000,0.2956,0.8644,0.7769014964442398,0.7981843016676763,0.8584350383485545,0.6050848029025983,0.6090225563909775,0.9210775646276704,0.9736151251567804
xgb__adult__seed0__setting1__XGBoost,xgboost_full,adult,0,1,XGBoost,0.0,0.0,0.7,noise_then_imbalance,symmetric,mean,15000,5000,0.232,0.8648,0.7780231541251235,0.799053530237093,0.8589609778602173,0.6065447519145887,0.6115288220551378,0.9207415725746132,0.9734913267538524
xgb__adult__seed0__setting2__XGBoost,xgboost_full,adult,0,2,XGBoost,0.0,0.0,0.8,noise_then_imbalance,symmetric,mean,14264,5000,0.2305,0.8624,0.757553889983966,0.7865952008734709,0.8528862433311,0.5927563184339423,0.556390977443609,0.9201031986575255,0.9732439298972468
xgb__adult__seed0__setting3__XGBoost,xgboost_full,adult,0,3,XGBoost,0.0,0.0,0.9,noise_then_imbalance,symmetric,mean,12679,5000,0.2168,0.8518,0.7004944432252513,0.7402054837889274,0.8289498564609002,0.5577013709894346,0.4101921470342523,0.918889058038206,0.9726727037622184
xgb__adult__seed0__setting4__XGBoost,xgboost_full,adult,0,4,XGBoost,0.0,0.1,natural,noise_then_imbalance,symmetric,mean,15000,5000,0.235,0.859,0.7621884714415541,0.7863995600739875,0.8513041043097297,0.585491762656676,0.5764411027568922,0.9116622083739456,0.9703009069880336
xgb__adult__seed0__setting5__XGBoost,xgboost_full,adult,0,5,XGBoost,0.0,0.1,0.7,noise_then_imbalance,symmetric,mean,15000,5000,0.2468,0.854,0.7580428852831527,0.7802949753641446,0.846619317284393,0.5714886466368622,0.5739348370927319,0.9075994394787036,0.9686230530294688
xgb__adult__seed0__setting6__XGBoost,xgboost_full,adult,0,6,XGBoost,0.0,0.1,0.8,noise_then_imbalance,symmetric,mean,14264,5000,0.2401,0.8542,0.7387103265218881,0.769317098235665,0.8422497860028451,0.5644115521429112,0.5171261487050961,0.9110331706204772,0.9701794412635764
xgb__adult__seed0__setting7__XGBoost,xgboost_full,adult,0,7,XGBoost,0.0,0.1,0.9,noise_then_imbalance,symmetric,mean,12679,5000,0.2203,0.841,0.677365580662147,0.7135707993536428,0.8131451612380227,0.5196868186193541,0.3634085213032581,0.9045807831877002,0.9676546516913188
xgb__adult__seed0__setting8__XGBoost,xgboost_full,adult,0,8,XGBoost,0.0,0.2,natural,noise_then_imbalance,symmetric,mean,15000,5000,0.2343,0.852,0.7458511736436366,0.7719787242591711,0.8423823179730807,0.5609447159435773,0.5421888053467001,0.9059407876339108,0.9678959519689152
xgb__adult__seed0__setting9__XGBoost,xgboost_full,adult,0,9,XGBoost,0.0,0.2,0.7,noise_then_imbalance,symmetric,mean,15000,5000,0.2442,0.8502,0.7495339057609841,0.7727471183940182,0.8418948434591735,0.5582207582795343,0.556390977443609,0.904774865553752,0.9678937530456888
xgb__adult__seed0__setting10__XGBoost,xgboost_full,adult,0,10,XGBoost,0.0,0.2,0.8,noise_then_imbalance,symmetric,mean,14264,5000,0.234,0.8468,0.721537606835917,0.7529235657761335,0.8323012385819079,0.5382064744708809,0.4812030075187969,0.900847196437935,0.966527038091768
xgb__adult__seed0__setting11__XGBoost,xgboost_full,adult,0,11,XGBoost,0.0,0.2,0.9,noise_then_imbalance,symmetric,mean,12679,5000,0.2173,0.8352,0.666396906456693,0.7000858395092356,0.8050046423217898,0.4977174813591649,0.3425229741019214,0.8994925740154578,0.9657016094977064
xgb__adult__seed0__setting12__XGBoost,xgboost_full,adult,0,12,XGBoost,0.0,0.3,natural,noise_then_imbalance,symmetric,mean,15000,5000,0.232,0.8478,0.7390828943688874,0.7649063434447083,0.8376651406771402,0.5473260013212569,0.5304928989139516,0.8919731179996622,0.9627945461727762
xgb__adult__seed0__setting13__XGBoost,xgboost_full,adult,0,13,XGBoost,0.0,0.3,0.7,noise_then_imbalance,symmetric,mean,15000,5000,0.2406,0.8394,0.7269775147835404,0.7515665692382734,0.8285574607838702,0.5206141843093866,0.5112781954887218,0.8894315945881885,0.9620666101371746
xgb__adult__seed0__setting14__XGBoost,xgboost_full,adult,0,14,XGBoost,0.0,0.3,0.8,noise_then_imbalance,symmetric,mean,14264,5000,0.2346,0.8356,0.7032980382413655,0.7327280545021471,0.8191511009133027,0.4997245549618425,0.4494569757727652,0.888746430015788,0.9620178861107996
xgb__adult__seed0__setting15__XGBoost,xgboost_full,adult,0,15,XGBoost,0.0,0.3,0.9,noise_then_imbalance,symmetric,mean,12679,5000,0.2203,0.82,0.6323609883680188,0.6567845009372071,0.7801428508669165,0.4398384574051823,0.2723475355054302,0.8894152288425508,0.9623271591946508
xgb__adult__seed0__setting16__XGBoost,xgboost_full,adult,0,16,XGBoost,0.1,0.0,natural,noise_then_imbalance,symmetric,mean,15000,5000,0.2512,0.8602,0.7638360297272238,0.7882174361584643,0.8525696012943277,0.5891709168141892,0.5789473684210527,0.914352561217225,0.9704537308733272
xgb__adult__seed0__setting17__XGBoost,xgboost_full,adult,0,17,XGBoost,0.1,0.0,0.7,noise_then_imbalance,symmetric,mean,15000,5000,0.255,0.8594,0.7681761376005531,0.7898088193109903,0.8528448349090296,0.5891750664560856,0.5931495405179615,0.9138551084521718,0.9698557007502918
xgb__adult__seed0__setting18__XGBoost,xgboost_full,adult,0,18,XGBoost,0.1,0.0,0.8,noise_then_imbalance,symmetric,mean,13264,5000,0.2404,0.853,0.7155950837739453,0.7528333536559242,0.8348422384729715,0.5582724377019629,0.4519632414369256,0.9103290042091818,0.9687581051267392
xgb__adult__seed0__setting19__XGBoost,xgboost_full,adult,0,19,XGBoost,0.1,0.0,0.9,noise_then_imbalance,symmetric,mean,11828,5000,0.2323,0.8222,0.6318035644813673,0.6564455946238875,0.7808210568784654,0.4530560964627615,0.2664995822890559,0.9047400471553148,0.966853847443101
xgb__adult__seed0__setting20__XGBoost,xgboost_full,adult,0,20,XGBoost,0.1,0.1,natural,noise_then_imbalance,symmetric,mean,15000,5000,0.2557,0.851,0.7449075620948242,0.7706890636658883,0.8414191414241495,0.5579990197578846,0.5413533834586466,0.8981299334759898,0.9634159358258922
xgb__adult__seed0__setting21__XGBoost,xgboost_full,adult,0,21,XGBoost,0.1,0.1,0.7,noise_then_imbalance,symmetric,mean,15000,5000,0.2685,0.8536,0.74862038961019,0.7747725017655128,0.8442195810079313,0.5661911904242118,0.5472013366750209,0.9055622885770828,0.9680907197449878
xgb__adult__seed0__setting22__XGBoost,xgboost_full,adult,0,22,XGBoost,0.1,0.1,0.8,noise_then_imbalance,symmetric,mean,13291,5000,0.2515,0.8426,0.6904392851705915,0.7263354776530837,0.819304285642057,0.5219449924195012,0.3984962406015037,0.9028630389190612,0.9656980335647588
xgb__adult__seed0__setting23__XGBoost,xgboost_full,adult,0,23,XGBoost,0.1,0.1,0.9,noise_then_imbalance,symmetric,mean,11843,5000,0.2374,0.8106,0.6067176223493258,0.6208855169540237,0.760663844015888,0.4058087706774728,0.2155388471177944,0.8920757059622498,0.9601624408360444
xgb__adult__seed0__setting24__XGBoost,xgboost_full,adult,0,24,XGBoost,0.1,0.2,natural,noise_then_imbalance,symmetric,mean,15000,5000,0.255,0.8488,0.7363054406109059,0.7639269957349477,0.8377025291287857,0.5487190419620013,0.52046783625731,0.8916974265798602,0.9617382252839276
xgb__adult__seed0__setting25__XGBoost,xgboost_full,adult,0,25,XGBoost,0.1,0.2,0.7,noise_then_imbalance,symmetric,mean,15000,5000,0.2641,0.845,0.7346661201166647,0.7602292542461543,0.8345355318897877,0.5382493980784622,0.5229741019214703,0.8950697587161874,0.963855357838767
xgb__adult__seed0__setting26__XGBoost,xgboost_full,adult,0,26,XGBoost,0.1,0.2,0.8,noise_then_imbalance,symmetric,mean,13256,5000,0.2538,0.832,0.6740253209937808,0.7061707500537288,0.8063880560928434,0.4820590484935461,0.3709273182957393,0.8872024482276777,0.9605232342857164
xgb__adult__seed0__setting27__XGBoost,xgboost_full,adult,0,27,XGBoost,0.1,0.2,0.9,noise_then_imbalance,symmetric,mean,11846,5000,0.2396,0.8096,0.605487775007683,0.6190995641730812,0.7594966613916757,0.4004225092012439,0.2138680033416875,0.8770722713524102,0.9560502117860664
xgb__adult__seed0__setting28__XGBoost,xgboost_full,adult,0,28,XGBoost,0.1,0.3,natural,noise_then_imbalance,symmetric,mean,15000,5000,0.2557,0.8374,0.7176481610723275,0.7441084995070075,0.8246376980113926,0.5108423607701896,0.4878863826232247,0.8818332754491188,0.9581902743811164
xgb__adult__seed0__setting29__XGBoost,xgboost_full,adult,0,29,XGBoost,0.1,0.3,0.7,noise_then_imbalance,symmetric,mean,15000,5000,0.263,0.8304,0.7047456927883737,0.7307292993703385,0.8161145215402589,0.4864418945183989,0.4636591478696741,0.8760071798393345,0.9551884158829304
xgb__adult__seed0__setting30__XGBoost,xgboost_full,adult,0,30,XGBoost,0.1,0.3,0.8,noise_then_imbalance,symmetric,mean,13341,5000,0.2505,0.833,0.6695304524788173,0.7022967219624657,0.8051076916472875,0.4866330979439776,0.3558897243107769,0.8835958333031282,0.958807744006668
xgb__adult__seed0__setting31__XGBoost,xgboost_full,adult,0,31,XGBoost,0.1,0.3,0.9,noise_then_imbalance,symmetric,mean,11799,5000,0.236,0.7986,0.5796513151579097,0.5790372770642871,0.7374921250206615,0.3537531703770884,0.1595655806182122,0.8673733153991121,0.9512243189625776
xgb__adult__seed0__setting32__XGBoost,xgboost_full,adult,0,32,XGBoost,0.2,0.0,natural,noise_then_imbalance,symmetric,mean,15000,5000,0.2651,0.8534,0.7487751502518238,0.7747107430396223,0.8441064126297219,0.565744879950805,0.5480367585630743,0.903669573618506,0.9659142163181272
xgb__adult__seed0__setting33__XGBoost,xgboost_full,adult,0,33,XGBoost,0.2,0.0,0.7,noise_then_imbalance,symmetric,mean,13996,5000,0.2663,0.852,0.7263871397311756,0.7597776345965913,0.8373539690837711,0.5551570296844573,0.4853801169590643,0.9024462066727869,0.9628979574595676
xgb__adult__seed0__setting34__XGBoost,xgboost_full,adult,0,34,XGBoost,0.2,0.0,0.8,noise_then_imbalance,symmetric,mean,12339,5000,0.2545,0.8268,0.6431283309509641,0.6714758156125011,0.789211366663642,0.4695637248271986,0.2907268170426065,0.8936360534959978,0.9584561927812606
xgb__adult__seed0__setting35__XGBoost,xgboost_full,adult,0,35,XGBoost,0.2,0.0,0.9,noise_then_imbalance,symmetric,mean,10959,5000,0.2438,0.784,0.550017123622449,0.5293016684686858,0.7097649234906012,0.2734114070034814,0.1010860484544695,0.8892834241796972,0.9580659010906004
xgb__adult__seed0__setting36__XGBoost,xgboost_full,adult,0,36,XGBoost,0.2,0.1,natural,noise_then_imbalance,symmetric,mean,15000,5000,0.285,0.8512,0.7519086962739481,0.7748218913798914,0.8431740036958265,0.5617931909924395,0.5614035087719298,0.8965420168002618,0.9633093950643016
